dname_id,dname_member_id,dname_date,dname_ip_address,dname_previous,dname_current,dname_discount
126,2820,1368998538,99.255.163.15,SFRY,Ð—Ð»Ð°Ñ‚Ð½Ð° Ð—Ð¾Ñ€Ð°,FALSE
127,2820,1369673224,99.255.163.15,Ð—Ð»Ð°Ñ‚Ð½Ð° Ð—Ð¾Ñ€Ð°,Ð–ÐµÑ™ÐµÐ·Ð½Ð° Ð—Ð¾Ñ€Ð°,FALSE
129,288,1372713123,62.140.252.8,Hitler was a sensitive man,Mr Loverman,FALSE
130,68,1373060889,192.101.250.250,3333,Iron Will,FALSE
131,5359,1373762785,24.138.174.9,Nova Prospekt,butthole,FALSE
132,2306,1373837105,85.23.37.78,Sturmi,Mustapaita,FALSE
133,288,1374153162,62.140.252.8,Mr Loverman,The Feds,FALSE
134,2306,1374157032,85.23.37.78,Mustapaita,KerSan,FALSE
135,6174,1374658676,89.135.205.29,IronMirage,Enrichment,FALSE
136,333,1374679083,173.28.227.22,Malhard,Neo-Nationalist,FALSE
137,288,1374705882,62.140.252.8,The Feds,Fed in Town,FALSE
138,6145,1375305860,76.118.0.107,Jim20o,Implosion,FALSE
139,319,1376248418,174.49.125.14,Sif,a_2_b_2,FALSE
141,2820,1377410691,99.255.163.15,Ð–ÐµÑ™ÐµÐ·Ð½Ð° Ð—Ð¾Ñ€Ð°,Arbeit Macht Frei,FALSE
142,2,1377692104,68.37.21.125,National Phalanx,Manifest Destiny,FALSE
333,6151,1424823466,86.177.43.183,Tibbert,FUCKING NORMIES,FALSE
146,6122,1378865287,76.104.26.181,Tenth Corporation,Black Brigade,FALSE
147,2820,1379028834,99.255.163.15,Arbeit Macht Frei,Arbeit,FALSE
149,288,1379356799,62.140.252.8,Fed in Town,NeW WorLd OrDeR,FALSE
150,132,1379698132,194.89.39.92,Se Pro Patria Debit,Chaim Shekelshoahsteinberg,FALSE
151,6168,1379706321,68.199.109.203,Fidena,Moishe Platinumstein,FALSE
152,6168,1380123377,68.199.109.203,Moishe Platinumstein,Simon Dinklewitz-Goldshoah,FALSE
154,6117,1380489798,88.88.138.216,Nowhere,Anywhere,FALSE
155,353,1380909403,189.58.167.35,Austral Fighter,Pseudo-South-Slav,FALSE
156,6117,1380999966,88.88.138.216,Anywhere,Somewhere,FALSE
157,6122,1381098467,76.104.26.181,Black Brigade,Folgore Dal Cielo,FALSE
158,6168,1381267445,68.199.109.203,Simon Dinklewitz-Goldshoah,Based Anton Arco-Valley,FALSE
159,132,1381331231,194.89.39.92,Chaim Shekelshoahsteinberg,Myrrysmies,FALSE
160,6117,1381615508,88.88.138.216,Somewhere,Over there,FALSE
161,288,1381958516,62.140.252.8,NeW WorLd OrDeR,NwO,FALSE
162,164,1382041526,134.88.170.184,Yorick,adam sandler,FALSE
163,6274,1382238666,98.234.240.158,geocend,ridda,FALSE
164,6274,1382238804,98.234.240.158,ridda,ferdmon,FALSE
165,2075,1382408617,75.71.36.74,xXxGeneric_NamexXx,IMPERATORFUHRER69,FALSE
166,236,1382417400,68.63.84.20,Son of Greece,Amicus Christi,FALSE
167,958,1382612126,212.10.154.124,Ã†resblod,Jutes,FALSE
168,2392,1383618417,217.26.255.205,Plowshares Into Swords,PVGNA ARTIFEX,FALSE
169,2392,1383618463,217.26.255.205,PVGNA ARTIFEX,Pvgna Artifex,FALSE
170,2392,1383618640,217.26.255.205,Pvgna Artifex,Pugna Artifex,FALSE
171,6168,1383720049,68.199.109.203,Based Anton Arco-Valley,Fidena,FALSE
172,6317,1383998525,208.96.82.35,CanadianFascist123,Canadian Fascist,FALSE
173,6322,1384178548,109.99.127.206,Honor et Patria,Baba Novak,FALSE
174,6168,1384272976,68.199.109.203,Fidena,TRASH MACHT FREI,FALSE
175,2820,1384382557,99.255.163.15,Arbeit,ZHICA,FALSE
176,55,1384802579,70.136.156.113,Henskelion,GRIDS Enthusiast,FALSE
177,72,1384860060,112.205.39.8,Basiji,Hohei No Honryo,FALSE
178,6117,1384875062,88.88.138.216,Over there,Definitely not a jew,FALSE
179,6254,1384988533,134.88.151.30,SonofRoosevelt,White Imperialist,FALSE
180,6122,1385070130,76.104.26.181,Folgore Dal Cielo,Non-Racist,FALSE
181,6168,1385313141,68.199.109.203,TRASH MACHT FREI,Racist,FALSE
182,2306,1385587446,85.23.37.78,KerSan,Wolfspath,FALSE
183,333,1385997334,173.28.227.22,Neo-Nationalist,NeoNationalist,FALSE
184,6122,1386038090,76.104.26.181,Non-Racist,Tolerant Anti-Racist,FALSE
185,288,1386097429,62.140.252.8,NwO,C10H17N7O4,FALSE
186,6122,1386779694,76.104.26.181,Tolerant Anti-Racist,Smash the BNP&#33;,FALSE
187,319,1386806370,174.49.125.14,a_2_b_2,ambient information,FALSE
188,3143,1386825475,98.195.255.57,staradder92,hellbringer,FALSE
189,3143,1386825485,98.195.255.57,hellbringer,hellbringer23,FALSE
190,991,1387513866,24.2.187.182,Duckface,Alex,FALSE
191,6359,1388375515,199.187.249.32,KingOfTexas,KingTex,FALSE
193,288,1389467762,62.140.252.8,C10H17N7O4,Hitler was a sensitive man,FALSE
195,2392,1390799333,217.26.255.205,Pugna Artifex,Ragnar Neckbeard,FALSE
196,281,1390863701,76.4.189.134,ModernMonarchist,Phil,FALSE
197,281,1390863742,76.4.189.134,Phil,Mongo,FALSE
198,6122,1391875107,76.104.26.181,Smash the BNP&#33;,Minister of Non-Racism,FALSE
199,6168,1392797097,68.199.109.203,Racist,Rockwellian,FALSE
200,6168,1392797165,68.199.109.203,Rockwellian,GLR was a prophet,FALSE
201,6168,1392843223,68.199.109.203,GLR was a prophet,Racist,FALSE
202,353,1392844431,189.58.167.35,Pseudo-South-Slav,The One that do not Read,FALSE
203,319,1392934473,174.49.125.14,ambient information,Vesimies,FALSE
204,353,1393100093,189.58.167.35,The One that do not Read,PseudoSouthSlav,FALSE
205,3143,1393326612,98.195.255.57,hellbringer23,StarAdder92,FALSE
206,3143,1393372431,98.195.255.57,StarAdder92,hellbringer23,FALSE
207,3143,1393382537,98.195.255.57,hellbringer23,Hellbringer23,FALSE
209,6122,1394549550,76.104.26.181,Minister of Non-Racism,Fascist Corvax,FALSE
210,56,1395099855,82.11.64.181,Ð‰Ð¾Ñ‚Ð¸Ñ›ÐµÐ²aÑ†,DannyÐ‰Ð¾Ñ‚Ð¸Ñ›,FALSE
211,6247,1395874446,216.106.25.24,Diomedes__,Diomedes_Tydides,FALSE
212,3143,1396273909,98.195.255.57,Hellbringer23,Wolfgang32,FALSE
213,85,1396281521,92.21.232.16,Blackshirt,English Blackshirt,FALSE
214,3721,1396328362,107.15.41.197,suspiciouscelerystalk,unsuspicious and human,FALSE
215,6254,1396330194,134.88.151.30,White Imperialist,Wolfloveswatermelon,FALSE
216,6254,1396330356,134.88.151.30,Wolfloveswatermelon,Wolfyloveswatermelon&#33;,FALSE
217,3721,1396468028,107.15.41.197,unsuspicious and human,suspiciouscelerystalk,FALSE
218,6115,1396475824,187.34.65.118,Steinkopf,Cultural Terrorist,FALSE
219,7481,1396736069,81.155.140.231,RadioFreeGB,CounterRevolutionGB,FALSE
220,7481,1396901954,81.155.140.231,CounterRevolutionGB,English Housecarl,FALSE
221,14,1397409049,71.114.56.45,Dux,Ze&#39;ev,FALSE
222,35,1397542942,71.65.36.98,American_Blackshirt,anon111222333444555,FALSE
223,35,1397543117,71.65.36.98,anon111222333444555,American_Blackshirt,TRUE
224,35,1397543818,71.65.36.98,American_Blackshirt,anon111222333444555,FALSE
225,7481,1397583297,81.155.140.231,English Housecarl,Radio Free GB,FALSE
226,35,1397683018,71.65.36.98,anon111222333444555,Jacob Rutledge,TRUE
227,7508,1399143846,80.212.46.150,faginator,lvl 14 jew slayer,FALSE
228,7481,1399494929,81.155.140.231,Radio Free GB,Beanbag Defence Force,FALSE
229,7481,1399503811,81.155.140.231,Beanbag Defence Force,Radio Free GB,FALSE
230,335,1399858985,146.135.1.3,Black Sun,nope,FALSE
231,7719,1400031360,71.200.93.46,Novum Imperium,Imperium Novum,FALSE
234,7508,1401727095,80.212.46.150,lvl 14 jew slayer,a one man Auschwitz,FALSE
297,958,1415139301,212.10.154.124,Jutes,Uncle Nat,FALSE
238,7481,1403041568,81.155.140.231,Radio Free GB,xXxLOLTraditionalist420xXx,FALSE
240,7800,1403108266,89.164.59.6,SpiritusEuropa,Dux Sclavorum,FALSE
241,7481,1403349562,81.155.140.231,xXxLOLTraditionalist420xXx,xXx1337RaceWarNow420xXx,FALSE
242,2306,1403386764,85.23.37.78,Wolfspath,KerSan,FALSE
243,2306,1403389406,85.23.37.78,KerSan,Johnny Bob,FALSE
244,2306,1403473538,85.23.37.78,Johnny Bob,Sammy,FALSE
245,7481,1403637877,81.155.140.231,xXx1337RaceWarNow420xXx,xXx1337tRaDiCaL420xXx,FALSE
246,6244,1404367012,24.99.147.135,StahlSoldat,IronDragon,FALSE
247,6290,1404964775,99.61.135.97,sonofalamut,reignofkemer,FALSE
248,1558,1404967071,83.233.70.12,Noidberg,Somali Pride World Wide,FALSE
249,6290,1406424995,99.61.135.97,reignofkemer,sonofalamut,FALSE
264,6244,1408934667,24.99.147.135,IronDragon,NhÃ  Nguyá»…n,FALSE
251,7636,1406685759,47.20.224.112,Bogatyr,Sviatoslav The Great,FALSE
252,6249,1406704992,69.29.216.200,Nordic_Wolf,Victory of the People,FALSE
253,7636,1406743809,47.20.224.112,Sviatoslav The Great,Sviatoslav,FALSE
254,7888,1406757561,24.179.123.40,FullMetal,Full Metal,FALSE
256,1558,1406856316,83.233.70.12,Somali Pride World Wide,noidberg,FALSE
257,1558,1406856330,83.233.70.12,noidberg,Noidberg,FALSE
261,1772,1407986536,203.82.95.16,otakumilitia,Perintah,FALSE
262,7846,1408173560,108.8.7.144,Ukko_Helter_Skelter,Ukko Finno-Bear,FALSE
265,7508,1408999706,80.212.46.150,a one man Auschwitz,Harrison Bergeron,FALSE
267,7719,1409879967,71.200.93.46,Imperium Novum,Atlas,FALSE
268,7719,1409948964,71.200.93.46,Atlas,Cronus,FALSE
269,6274,1410422349,98.234.240.158,ferdmon,fuckface chainsaw,FALSE
270,6274,1410423001,98.234.240.158,fuckface chainsaw,ferdmon,FALSE
271,333,1410534331,173.28.227.22,NeoNationalist,NeoNihilist,FALSE
272,274,1410537588,184.9.97.155,Palmer,Ironclad,FALSE
273,353,1410726244,189.58.167.35,PseudoSouthSlav,Legit North-Italian,FALSE
274,274,1410753255,184.9.97.155,Ironclad,Palmer,FALSE
275,274,1410853894,184.9.97.155,Palmer,Ironclad,FALSE
276,288,1410891361,62.140.252.8,Hitler was a sensitive man,Tracksuit Terrorist,FALSE
277,7424,1410978071,216.186.29.234,21hungry,21bears,FALSE
281,7636,1411768244,47.20.224.112,Sviatoslav,Blue Eyed Devil,FALSE
282,8016,1411850319,87.114.37.62,Jeffels,Integral Nations,FALSE
283,2075,1411885979,75.71.36.74,IMPERATORFUHRER69,ARYANWARRIOR1488,FALSE
284,7424,1411935576,216.186.29.234,21bears,Bear,FALSE
285,8016,1411998080,87.114.37.62,Integral Nations,GASSED GHOST,FALSE
286,7719,1412038588,71.200.93.46,Cronus,World Ocean,FALSE
287,7616,1412169399,84.236.118.86,IronDreams,NoLand,FALSE
288,7481,1412205397,81.155.140.231,xXx1337tRaDiCaL420xXx,Disciple of St Anders,FALSE
289,85,1412444531,92.21.232.16,English Blackshirt,British Blackshirt,FALSE
290,7719,1412980548,71.200.93.46,World Ocean,Conquest,FALSE
291,7481,1412986700,81.155.140.231,Disciple of St Anders,RadioFreeBritbongistan,FALSE
292,8016,1413312570,87.114.37.62,GASSED GHOST,Jeffels,FALSE
293,6260,1413317142,94.5.243.239,Eilthireach,Haggis,FALSE
294,8001,1413351810,74.100.205.93,AmericanFascist,StÃ¶veltramp,FALSE
295,3721,1414417046,107.15.41.197,suspiciouscelerystalk,EN-suspiciouscelerystalk,FALSE
296,6274,1414650894,98.234.240.158,ferdmon,Quin,FALSE
298,8133,1415390179,174.239.32.97,CassandraGemimi,CassandraGemini,FALSE
299,3721,1415502520,107.15.41.197,EN-suspiciouscelerystalk,suspiciouscelerystalk,FALSE
300,6254,1416546833,134.88.151.30,Wolfyloveswatermelon&#33;,Amerikkka,FALSE
301,8173,1416597885,89.68.205.15,logantyler,Ritterkreuz,FALSE
302,8102,1416778714,24.18.248.23,Four of Spades,Ignis,FALSE
303,7481,1416945627,81.155.140.231,RadioFreeBritbongistan,RadioFreeAvalon,FALSE
304,2392,1417375946,217.26.255.205,Ragnar Neckbeard,â˜©Plowsharesâ˜©â… ntoâ˜©ÏŸwordsâ˜©,FALSE
305,2392,1417540097,217.26.255.205,â˜©Plowsharesâ˜©â… ntoâ˜©ÏŸwordsâ˜©,â˜¥âˆ†â˜¥Hyperbâ˜®rean Seapunkâ˜¥âˆ†â˜¥,FALSE
306,6274,1417623419,98.234.240.158,Quin,arma blanca,FALSE
307,288,1417812424,62.140.252.8,Tracksuit Terrorist,TTÂ ,FALSE
308,6274,1417990188,98.234.240.158,arma blanca,tomato joe,FALSE
309,2392,1418279265,217.26.255.205,â˜¥âˆ†â˜¥Hyperbâ˜®rean Seapunkâ˜¥âˆ†â˜¥,â–²BlackshirtLuxurySuite95â–²,FALSE
311,333,1419180197,173.28.227.22,NeoNihilist,NeoNationalist,FALSE
312,1558,1419583724,83.233.70.12,Noidberg,Rabbi Noidberg,FALSE
313,8207,1420168756,190.72.44.22,NACIONALREVOLUCIONARIO,Totalitarianist,FALSE
314,1558,1420204630,83.233.70.12,Rabbi Noidberg,Noid is void,FALSE
315,7481,1420408657,81.155.140.231,RadioFreeAvalon,mememaster69,FALSE
316,7903,1420525280,173.175.52.136,GenericNationalism,TripleKMafia,FALSE
317,8943,1421040365,104.34.206.106,The Amazing Nationalist,Nationalist Comrade,FALSE
318,353,1421437064,189.58.167.35,Legit North-Italian,Veikko TÃ¤ysin Suomeksi,FALSE
319,353,1421437116,189.58.167.35,Veikko TÃ¤ysin Suomeksi,Veikko Meksikon,FALSE
320,353,1421437206,189.58.167.35,Veikko Meksikon,Vihtori Meksikon,FALSE
321,7481,1421620573,81.155.140.231,mememaster69,BetaUprising88,FALSE
322,8018,1422021021,62.210.74.143,PSG,Ratbag,FALSE
323,7481,1422220362,81.155.140.231,BetaUprising88,RadioFreeGB,FALSE
324,7481,1423096224,81.155.140.231,RadioFreeGB,UnrepentantImperialist,FALSE
325,8260,1423121900,68.230.48.201,Classy Yank,Plebeian,FALSE
326,2,1423168185,68.37.21.125,Manifest Destiny,Qvis Contra Nos?,FALSE
328,333,1424009855,173.28.227.22,NeoNationalist,malhard,FALSE
329,333,1424009976,173.28.227.22,malhard,TismMarch,FALSE
330,7643,1424117278,68.195.99.156,Silvershirt,American Stormtrooper,FALSE
331,7481,1424270748,81.155.140.231,UnrepentantImperialist,#JeSuisZakRockerz,FALSE
332,8059,1424408304,144.137.165.1,HenryDillman,Abu Muslim Al-Dillmani,FALSE
334,9248,1425213050,72.182.111.186,naturalselector,Ubermensch,FALSE
335,1558,1425241633,83.233.70.12,Noid is void,Noidberg,FALSE
336,7757,1425242262,187.57.42.103,Fascio,KÃ¤ssinÃ«lli,FALSE
337,1558,1425479286,83.233.70.12,Noidberg,xX_ImPeRatoR_NoidBerg_Xx,FALSE
338,319,1425686667,174.49.125.14,Vesimies,Za Warudo,FALSE
339,8260,1425803298,68.230.48.201,Plebeian,Eagles Smiling,FALSE
340,7543,1425903152,84.209.14.205,Zarathustra,Balder,FALSE
341,9295,1426133546,118.208.119.154,RealityPotato,AusNationalist,FALSE
342,1558,1426361094,83.233.70.12,xX_ImPeRatoR_NoidBerg_Xx,Noidberg,FALSE
343,6306,1426969023,76.181.167.202,toska_,ecofascist,FALSE
344,6306,1427257710,76.181.167.202,ecofascist,Venator,FALSE
345,7757,1427558661,187.57.42.103,KÃ¤ssinÃ«lli,Race War Advocate,FALSE
346,9353,1427840802,92.244.147.252,Thulean,Thulean Ãœbermensch,FALSE
347,9363,1428111276,99.92.245.227,FallschirmjÃ¤ger,Goeth,FALSE
348,7481,1428324877,81.155.140.231,#JeSuisZakRockerz,14ANGLO_SUPREMACY88,FALSE
349,319,1428724477,174.49.125.14,Za Warudo,Vesimies,FALSE
350,7481,1428847364,81.155.140.231,14ANGLO_SUPREMACY88,xXx2012IM_MoNaRcHotradxXx,FALSE
351,7481,1428847910,81.155.140.231,xXx2012IM_MoNaRcHotradxXx,ï¼”ï¼’ï¼å¦¦ã³ã‚ƒã¿ï½”ï½’ï½ï½„ï½‰ï½ƒï½ï½Œ,FALSE
352,8343,1428848255,188.29.165.217,420_l33tsc0per,NIGGERCOCK69,FALSE
353,6151,1428913732,86.177.43.183,FUCKING NORMIES,PolPotDidNothingWrong,FALSE
354,7,1429230681,81.141.31.240,Goyles,xxXDJ.Fucking-RetardXxx,FALSE
355,7,1429230748,81.141.31.240,xxXDJ.Fucking-RetardXxx,DJ.Fucking-Retard,FALSE
356,9353,1429300695,92.244.147.252,Thulean Ãœbermensch,Thulean,FALSE
372,353,1432090258,189.58.167.35,CompletelyChristianBosniak,Ð¦Ð¾Ð¼Ð¿Ð»ÐµÑ‚Ð»Ñ‹Ð§Ñ€Ð¸ÑÑ‚Ð¸Ð°Ð½Ð‘Ð¾ÑÐ½Ð¸Ð°Ðº,FALSE
358,6165,1429848896,184.6.158.66,Brynhelde,LegomyHegel,FALSE
360,1209,1430653301,88.112.241.245,henkkz,Perkele,FALSE
361,9458,1430853265,184.176.124.181,Lunos,Fascism_Is_For_Fags,FALSE
362,6151,1430860876,86.177.43.183,PolPotDidNothingWrong,GOD HATES NORMIES,FALSE
364,353,1431347699,189.58.167.35,Vihtori Meksikon,CompletelyChristianBosniak,FALSE
365,7481,1431461545,81.155.140.231,ï¼”ï¼’ï¼å¦¦ã³ã‚ƒã¿ï½”ï½’ï½ï½„ï½‰ï½ƒï½ï½Œ,ÐÐ»ÐµÐºÑ Ð¿ÐµÑ‚ÑƒÑ… Ñ€Ð¾Ð³Ð¾Ð½Ð¾ÑÐµÑ†,FALSE
366,7481,1431461760,81.155.140.231,ÐÐ»ÐµÐºÑ Ð¿ÐµÑ‚ÑƒÑ… Ñ€Ð¾Ð³Ð¾Ð½Ð¾ÑÐµÑ†,ÐÐ»Ð¸ÑˆÐµÑ€ Ð½Ðµ Ð±ÐµÐ»Ñ‹Ð¹,FALSE
