tag_id,tag_aai_lookup,tag_aap_lookup,tag_meta_id,tag_meta_parent_id,tag_member_id,tag_added,tag_text
1,2cd36a5d4c630ce3802cb8c7a09086c9,956ad2d2939099a2185452a31071f22e,111,75,2,2011-09-20T21:45:47Z,father charles coughlin
2,2cd36a5d4c630ce3802cb8c7a09086c9,956ad2d2939099a2185452a31071f22e,111,75,2,2011-09-20T21:45:47Z,father coughlin
3,2cd36a5d4c630ce3802cb8c7a09086c9,956ad2d2939099a2185452a31071f22e,111,75,2,2011-09-20T21:45:47Z,charles coughlin
4,2cd36a5d4c630ce3802cb8c7a09086c9,956ad2d2939099a2185452a31071f22e,111,75,2,2011-09-20T21:45:47Z,coughlin
5,2cd36a5d4c630ce3802cb8c7a09086c9,956ad2d2939099a2185452a31071f22e,111,75,2,2011-09-20T21:45:47Z,united states of america
6,2cd36a5d4c630ce3802cb8c7a09086c9,956ad2d2939099a2185452a31071f22e,111,75,2,2011-09-20T21:45:47Z,United States
7,2cd36a5d4c630ce3802cb8c7a09086c9,956ad2d2939099a2185452a31071f22e,111,75,2,2011-09-20T21:45:47Z,U.S.
8,2cd36a5d4c630ce3802cb8c7a09086c9,956ad2d2939099a2185452a31071f22e,111,75,2,2011-09-20T21:45:47Z,America
9,2cd36a5d4c630ce3802cb8c7a09086c9,956ad2d2939099a2185452a31071f22e,111,75,2,2011-09-20T21:45:47Z,USA
10,2cd36a5d4c630ce3802cb8c7a09086c9,956ad2d2939099a2185452a31071f22e,111,75,2,2011-09-20T21:45:47Z,Canada
11,4ce4adba46f760c9b88d21387527a79e,4fbeb3c9ac442b9608a5a7ee84bd1eb5,129,99,2,2011-09-23T08:32:12Z,political compass
1505,b3b80a1bea32e7e8a6cb28da73ae7c3f,c5aa156354e1562af9dc1fbdf03ae7c0,209,94,2,2013-11-27T14:36:27Z,fascism
1504,b3b80a1bea32e7e8a6cb28da73ae7c3f,c5aa156354e1562af9dc1fbdf03ae7c0,209,94,2,2013-11-27T14:36:27Z,true
1503,b3b80a1bea32e7e8a6cb28da73ae7c3f,c5aa156354e1562af9dc1fbdf03ae7c0,209,94,2,2013-11-27T14:36:27Z,giovanni gentile
1502,b3b80a1bea32e7e8a6cb28da73ae7c3f,c5aa156354e1562af9dc1fbdf03ae7c0,209,94,2,2013-11-27T14:36:27Z,actual idealism
87,efee20aa641a2fa36717fdebf117f463,4fbeb3c9ac442b9608a5a7ee84bd1eb5,254,38,2,2011-11-28T08:35:31Z,Britain
86,efee20aa641a2fa36717fdebf117f463,4fbeb3c9ac442b9608a5a7ee84bd1eb5,254,38,2,2011-11-28T08:35:31Z,Monarchy
25,43ca3f67301b77f135a3c7f5bc1a3b78,42127c729dd1871f500f9c583c4a30dd,272,60,67,2011-11-02T02:23:42Z,Introduction
26,d9eb242b0c991f1e1e7041149b0d11b6,69be07476c613fe6f924a70753c952f8,274,60,67,2011-11-02T20:59:12Z,Religion
27,8aee0d7062abe55f54920a64ad22d30b,0e2cc9595cdd468bc3f1f9e946c8d63b,275,88,67,2011-11-02T21:26:23Z,Trade unions
28,8aee0d7062abe55f54920a64ad22d30b,0e2cc9595cdd468bc3f1f9e946c8d63b,275,88,67,2011-11-02T21:26:23Z,left
29,8aee0d7062abe55f54920a64ad22d30b,0e2cc9595cdd468bc3f1f9e946c8d63b,275,88,67,2011-11-02T21:26:23Z,Syndicalism
