conf_id,conf_key,conf_value,conf_default,conf_keywords,conf_app
15,gl_title,Iron March Forum Charter and Mission Statement,,,
16,gl_link,,,,
20,site_offline_message,"
<p style=""text-align:center;"">
	<strong>Hunting hook-nosed gremlins in our tech, check back later.</strong>
</p>

<div style=""text-align:center;"">
	<img alt=""7YpQGhG.png"" class=""ipsImage"" src=""https://i.imgur.com/7YpQGhG.png"" /></div>

<p>
	 
</p>

<p>
	 
</p>
",,,
533,file_log_pruning,90,90,,core
534,google_maps_api_key,,,,core
21,use_coppa,0,0,,
22,coppa_fax,,,,
23,coppa_address,,,,
24,coppa_consent_extra,,,,
25,ipb_copy_number,,,,
26,ips_cp_purchase,,0,,
29,cc_on,,1,,
30,cc_posts,,7,,
31,cc_sigs,,180,,
43,disable_profile_stats,,0,,
59,mail_method,php,php,,
60,email_in,adminship@ironmarch.org,,,
61,email_out,adminship@ironmarch.org,,,
62,smtp_host,localhost,localhost,,
63,smtp_port,25,25,,
65,smtp_user,,,,
66,smtp_pass,,,,
68,php_mail_extra,,,,
69,board_name,Iron March Forums,Invision Community,,
71,home_name,IRONMARCH.ORG,,,
72,home_url,,,,
84,ipb_reg_number,1315832416-74506-155866-1144811605,,,
91,ipb_prune_spider,,1,,
100,error_log_level,,3,,
102,spider_visit,,0,,
104,seo_r_on,,1,,
106,htaccess_mod_rewrite,,0,,
328,archive_on,,0,,
112,ipseo_ga,,,"ipseo, ip.seo, google, analytics, tracking, code",
124,search_sphinx_server,,127.0.0.1,,
125,search_sphinx_port,,3312,,
126,sphinx_base_path,,/var/sphinx,,
127,sphinx_prefix,,,,
129,xforward_matching,,0,,
130,lp_method,,random,,
133,match_ipaddress,,1,,
134,match_browser,,0,,
135,ipb_bruteforce_attempts,3,3,,
136,ipb_bruteforce_period,15,15,,
137,ipb_bruteforce_unlock,1,1,,
138,security_remove_acp_link,,0,,
139,logins_over_https,1,0,,
140,reg_auth_type,admin_user,user,,
141,validate_day_prune,14,30,,
142,new_reg_notify,0,0,,
146,flood_control,0,5,,
148,disable_anonymous,0,0,,
167,fbc_bot_group,,2,,
174,sl_enable,,1,,
176,tags_enabled,,1,,
177,tags_open_system,,1,,
178,tags_can_prefix,,1,,
179,tags_predefined,,,,
180,tags_force_lower,,1,,
181,tags_min,,0,,
182,tags_max,,0,,
183,tags_len_min,,0,,
184,tags_len_max,,0,,
185,tags_clean,,0,,
192,reputation_enabled,,1,,
193,reputation_protected_groups,,,,
194,reputation_point_types,,like,,
195,reputation_highlight,,50,,
196,reputation_show_profile,,1,,
197,reputation_show_content,,1,,
198,reputation_can_self_vote,,0,,
199,spam_service_enabled,,1,,
200,spam_service_send_to_ips,,1,,
203,spam_service_action_0,,1,,
204,spam_service_action_1,,1,,
205,spam_service_action_2,,1,,
206,spam_service_action_3,,2,,
207,spam_service_action_4,,4,,
208,spm_notify,,0,,
209,spm_option,,"disable,unapprove",,
210,spm_post_days,,3,,
211,bot_antispam_type,recaptcha,recaptcha,,
212,guest_captcha,1,1,,
213,recaptcha_public_key,6LcpWAMAAAAAAA4klDtDNuDH6LsGgBX5mBoJ3naK,6LcpWAMAAAAAAA4klDtDNuDH6LsGgBX5mBoJ3naK,"recaptcha, captcha",
214,recaptcha_private_key,6LcpWAMAAAAAAETX5jHd9NlPtIHJA4G-ra3X2RQB,6LcpWAMAAAAAAETX5jHd9NlPtIHJA4G-ra3X2RQB,"recaptcha, captcha",
216,recaptcha_theme,clean,white,,
217,post_titlechange,-1,500,,
218,friends_enabled,,1,,
219,pp_allow_member_rate,,1,,
221,member_photo_gif_animate,1,0,,
222,allow_gravatars,0,0,,
225,subs_autoprune,,0,,
226,autoforum_sub_groups,,,,
227,auto_track_method,0,,,
229,username_characters,,,,
233,max_user_name_length,26,26,,
235,warn_on,1,1,,
239,warn_protected,"14,16,4,15",,,
240,warn_show_own,1,1,,
252,topic_redirect_prune,30,30,,
271,strip_quotes,,1,,
275,ipb_url_filter_option,none,none,,
276,ipb_url_whitelist,,,,
277,ipb_url_blacklist,,,,
278,posts_add_nofollow,,1,,
288,max_poll_questions,,3,,
289,max_poll_choices,30,20,,
290,allow_result_view,,1,,
291,allow_creator_vote,,1,,
292,ipb_poll_only,,0,,
293,poll_allow_public,,1,,
294,poll_allow_vdelete,,0,,
295,startpoll_cutoff,,24,,
340,task_use_cron,normal,normal,,
341,task_cron_key,a6ecdea502ab85f69487601d8124ab04,,,
344,mandrill_username,,,,
345,mandrill_api_key,,,,
352,sitemap_path,,,"sietmap,path",
353,sitemap_url,http://ironmarch.org/sitemap.php,,"sitemap,url",
354,sitemap_ping,,1,"sitemap,ping,google,bing,yahoo",
360,sitemap_priority_blog_entries,,0.8,"sitemap,priority,blog,entries",
361,sitemap_priority_blogs,,0.6,"sitemap,priority,blog,blogs",
362,sitemap_count_blog_entries,,1000,"sitemap,count,number,blog,entries",
363,sitemap_priority_gallery_images,,0.6,"ip.seo, ipseo, seo, sitemap, priority, gallery, images",
364,sitemap_priority_gallery_albums,,0.4,"ip.seo, ipseo, seo, sitemap, priority, gallery, albums",
365,sitemap_count_gallery_images,,1000,"ip.seo, ipseo, seo, sitemap, gallery, images, number, count",
366,sitemap_priority_ccs_index,,1,"sitemap,content,ip.content,homepage",
367,sitemap_priority_ccs_page,,0.8,"sitemap,content,ip.content,page",
368,sitemap_priority_content_records,,0.6,"ip.seo, ipseo, seo, ip.content, content, priority, sitemap, records",
369,sitemap_priority_content_categories,,0.4,"ip.seo, ipseo, seo, ip.content, content, priority, sitemap, categories",
370,sitemap_priority_downloads_categories,,0.2,"sitemap,priority,download,categories,category",
371,sitemap_priority_downloads_files,,0.4,"sitemap,priority,downloads,file,files",
372,sitemap_count_downloads_files,,1000,"sitemap,count,number,download,file",
373,sitemap_priority_nexus_categories,,0.4,,
374,sitemap_priority_nexus_products,,0.6,,
375,sitemap_priority_chat,,0,,
379,twitter_hashtag,,,,
380,sm_autoshare,,1,,
381,tags_min_req,,0,,
382,viglink_enabled,,0,,
383,viglink_api_key,,,,
384,viglink_subid,,,,
385,viglink_groups,,,,
386,viglink_norewrite,,,,
388,cc_list_id,,,,
389,keycaptcha_privatekey,,,"keycaptcha, captcha",
391,prune_notifications,,3,,
394,warnings_acknowledge,1,0,,
396,show_bday_calendar,0,1,,
404,ipb_calendar_mon,1,0,,
407,setup_in_progress,0,0,,
408,upload_type,FileSystem,,,core
409,upload_settings,"{""filestorage__core_Advertisements"":1,""filestorage__core_Attachment"":1,""filestorage__core_Emoticons"":1,""filestorage__core_Profile"":1,""filestorage__core_Theme"":1,""filestorage__downloads_Files"":1,""filestorage__downloads_Screenshots"":1,""filestorage__calendar_Events"":1,""filestorage__forums_Icons"":1,""filestorage__gallery_Images"":1,""filestorage__blog_Blogs"":1,""filestorage__blog_Entries"":1,""filestorage__core_ProfileField"":1,""filestorage__core_Imageproxycache"":1}",,,core
410,site_online,1,1,,
411,most_online,"{""count"":202,""time"":1459371910}","{""count"":0,""time"":0}",,core
412,acp_dashboard_blocks,"{""1"":{""main"":[""core_OnlineAdmins"",""core_AwaitingValidation"",""core_BackgroundQueue"",""core_Registrations""],""side"":[""core_AdminNotes"",""core_OnlineUsers"",""core_FailedLogins""]},""7"":{""main"":[""core_BackgroundQueue"",""core_Registrations""],""side"":[""core_AdminNotes"",""core_OnlineUsers""]}}",,,core
413,acp_notes,,,,core
414,acp_notes_updated,,,,core
415,ads_circulation,random,random,,core
416,ads_exist,0,0,,core
417,all_activity_follow_content,1,1,,core
