device_key,member_id,ip_address,last_seen
72c8beef2683dca41ab7c92ab41ca964,1,84.85.45.210,1501826677
270fc3e4ff80f6e6c6b0b011b79d5bbd,1,84.85.45.210,1502042815
729d5284c9efc85e57a372ca55ac533d,1,5.228.86.255,1502124078
4e7fb2ffc0a94cbe812aee8dfabf8fa6,1,89.200.4.210,1503523918
4e7fb2ffc0a94cbe812aee8dfabf8fa6,1,84.85.45.210,1504544107
ca626a411d361d01057e95d108d9fc34,1,5.228.86.255,1505271409
ca626a411d361d01057e95d108d9fc34,1,109.188.126.136,1505289399
ca626a411d361d01057e95d108d9fc34,1,109.188.125.197,1505310055
ca626a411d361d01057e95d108d9fc34,1,5.228.74.139,1505453063
ca626a411d361d01057e95d108d9fc34,1,5.228.78.239,1505972949
ca626a411d361d01057e95d108d9fc34,1,5.228.80.162,1506056964
ca626a411d361d01057e95d108d9fc34,1,5.228.81.134,1506219102
ca626a411d361d01057e95d108d9fc34,1,5.228.80.36,1506497780
93049a51ef6d920d5b46019ad2b94d16,1,109.188.127.74,1506609833
a73d7941100ad1cd620bcee67f2371eb,1,109.188.126.148,1506657017
a73d7941100ad1cd620bcee67f2371eb,1,109.188.127.39,1506675618
a73d7941100ad1cd620bcee67f2371eb,1,109.188.126.154,1506698843
a73d7941100ad1cd620bcee67f2371eb,1,109.188.125.236,1506723171
438d58d06df08e3ec09e80fda5ef08a8,1,5.228.86.11,1506827660
438d58d06df08e3ec09e80fda5ef08a8,1,2a02:2168:804:11a0::4,1507050753
a73d7941100ad1cd620bcee67f2371eb,1,109.188.124.240,1507158007
a73d7941100ad1cd620bcee67f2371eb,1,109.188.124.0,1507184644
a73d7941100ad1cd620bcee67f2371eb,1,109.188.124.60,1507314364
a73d7941100ad1cd620bcee67f2371eb,1,109.188.126.70,1507365732
a73d7941100ad1cd620bcee67f2371eb,1,109.188.125.159,1507451816
a73d7941100ad1cd620bcee67f2371eb,1,109.188.124.40,1507570323
438d58d06df08e3ec09e80fda5ef08a8,1,2a02:2168:804:e4b::1,1507622732
a73d7941100ad1cd620bcee67f2371eb,1,162.158.183.42,1508154578
438d58d06df08e3ec09e80fda5ef08a8,1,172.68.244.13,1508602148
438d58d06df08e3ec09e80fda5ef08a8,1,162.158.89.140,1508788094
438d58d06df08e3ec09e80fda5ef08a8,1,162.158.88.87,1509010642
438d58d06df08e3ec09e80fda5ef08a8,1,162.158.90.253,1509049369
a73d7941100ad1cd620bcee67f2371eb,1,162.158.183.60,1509530249
a73d7941100ad1cd620bcee67f2371eb,1,162.158.91.198,1509729840
438d58d06df08e3ec09e80fda5ef08a8,1,162.158.88.237,1509823757
438d58d06df08e3ec09e80fda5ef08a8,1,162.158.91.198,1510016331
438d58d06df08e3ec09e80fda5ef08a8,1,188.114.102.149,1510038429
438d58d06df08e3ec09e80fda5ef08a8,1,188.114.102.203,1510038490
438d58d06df08e3ec09e80fda5ef08a8,1,162.158.92.143,1510729666
438d58d06df08e3ec09e80fda5ef08a8,1,162.158.90.13,1510820376
a73d7941100ad1cd620bcee67f2371eb,1,172.68.182.11,1510841101
a73d7941100ad1cd620bcee67f2371eb,1,162.158.182.209,1511001623
a73d7941100ad1cd620bcee67f2371eb,1,172.68.182.89,1511001632
438d58d06df08e3ec09e80fda5ef08a8,1,162.158.93.88,1511237464
dbb651bb5c567b58ace29c098b92a415,2,2601:8c:4500:78a0:c4a0:65da:c51a:6340,1502819704
dbb651bb5c567b58ace29c098b92a415,2,2601:8c:4500:78a0:9018:fecd:7201:faab,1505383169
dbb651bb5c567b58ace29c098b92a415,2,2601:8c:4500:78a0:7de9:c2a7:f807:f2b6,1506879663
11754c6ac37857d0881aeb039808f838,2,2601:8c:4500:78a0:7de9:c2a7:f807:f2b6,1506879800
11754c6ac37857d0881aeb039808f838,2,2601:8c:4500:78a0:10e0:72a1:aa5d:178e,1507595745
2cf1b8e82aea5c2c4c4844f89535105f,7,82.1.33.60,1505532281
2cf1b8e82aea5c2c4c4844f89535105f,7,146.90.34.148,1506379353
29a23597115e4a3b0b46be5d737491d5,28,82.0.133.123,1505354019
ed8c8c182351ed332b9dd56e5380f0cb,28,82.0.133.123,1505791412
e09207397528e726a975429a5437ae4c,28,162.158.155.99,1509888081
4b088411c7cfcf39d181d0773e258f6c,53,37.144.75.16,1502976432
ae49c7b172d7855ba0f0ea11b806ee65,56,82.15.142.25,1503475455
8574fc89ea1ef05bb4821a038be3a82a,72,112.211.196.191,1503115106
8574fc89ea1ef05bb4821a038be3a82a,72,112.211.213.205,1503399198
8574fc89ea1ef05bb4821a038be3a82a,72,49.144.160.94,1503416544
8574fc89ea1ef05bb4821a038be3a82a,72,124.104.11.116,1503481716
8574fc89ea1ef05bb4821a038be3a82a,72,124.104.27.90,1507480917
8574fc89ea1ef05bb4821a038be3a82a,72,172.68.146.9,1509807982
8574fc89ea1ef05bb4821a038be3a82a,72,172.68.144.116,1510562504
1812b6f37fd9f1610b5d30cc7e1042e6,72,162.158.167.163,1511180113
ad541ea728f49758237d0d98b73097b0,85,95.149.141.81,1502657976
ad541ea728f49758237d0d98b73097b0,85,95.149.141.103,1504562775
ad541ea728f49758237d0d98b73097b0,85,141.101.98.227,1511172495
ad541ea728f49758237d0d98b73097b0,85,162.158.155.9,1511208818
138ffc9631eb2e8800f39025a53d0550,91,84.24.161.252,1502107366
82f6f5861b66618d912e38d303a53e17,91,84.24.161.252,1502107368
79b3eb0f1e65090786de7848aae18e83,125,87.226.32.9,1505041954
7fc74e1d488b05d4946306dd11748a27,125,87.226.32.9,1507233950
7fc74e1d488b05d4946306dd11748a27,125,162.158.182.53,1509283813
