status_id,status_member_id,status_date,status_content,status_replies,status_last_ids,status_is_latest,status_is_locked,status_hash,status_author_id,status_author_ip,status_approved
1,22,1316098429,Testing,0,a:0:{},TRUE,0,fa6a5a3224d7da66d9e0bdec25f62cf0,22,178.2.19.130,TRUE
2,14,1316397519,Cold... *brrr*,3,"a:3:{i:1324554161;a:4:{s:8:""reply_id"";s:1:""1"";s:15:""reply_member_id"";s:2:""35"";s:10:""reply_date"";s:10:""1324554161"";s:13:""reply_content"";s:22:""Try living in Indiana."";}i:1328301526;a:4:{s:8:""reply_id"";s:1:""2"";s:15:""reply_member_id"";s:3:""132"";s:10:""reply_date"";s:10:""1328301526"";s:13:""reply_content"";s:62:""Try living in Finland. -25 celsius and strong wind. Augh yeah."";}i:1343580980;a:4:{s:8:""reply_id"";s:2:""52"";s:15:""reply_member_id"";s:2:""67"";s:10:""reply_date"";s:10:""1343580980"";s:13:""reply_content"";s:106:""Implying that Canada is not the most cold. I mean, we are a frozen wasteland, with polar bears and igloos."";}}",FALSE,0,143f498959a1292d66a3dfa375edb095,14,71.114.56.45,TRUE
6,35,1319211330,"I am so fucking tired, prepared for a 24 hour day...",0,a:0:{},FALSE,0,43695c68bff0f30738d08f7ff948b07e,35,71.65.36.98,TRUE
7,35,1319935567,Queensryche,0,a:0:{},FALSE,0,842bc583d6103f9ba3b8920d45059afc,35,71.65.36.98,TRUE
8,35,1319935570,Queensryche,0,a:0:{},FALSE,0,842bc583d6103f9ba3b8920d45059afc,35,71.65.36.98,TRUE
11,35,1321967601,Getting into social credit.,0,a:0:{},FALSE,0,e8410a6b4fe6c883408393d281eb6fb5,35,71.65.36.98,TRUE
12,89,1324039690,National Socialism,0,a:0:{},TRUE,0,cd19c9457f5ef37b6517d0162b5f71de,89,86.144.209.41,TRUE
28,143,1332804371,"Ahaha, gnat season.",0,a:0:{},FALSE,0,b1161af476cad0dcc11a4437f47f0f8e,143,64.189.76.149,TRUE
29,130,1332911151,Dreams of Stalingrad. Fatherland - Glory - Valhalla,3,"a:3:{i:1333328200;a:4:{s:8:""reply_id"";s:1:""7"";s:15:""reply_member_id"";s:3:""132"";s:10:""reply_date"";s:10:""1333328200"";s:13:""reply_content"";s:21:""*hmm...slavsicles...*"";}i:1333757777;a:4:{s:8:""reply_id"";s:1:""8"";s:15:""reply_member_id"";s:3:""130"";s:10:""reply_date"";s:10:""1333757777"";s:13:""reply_content"";s:11:""lolgenocide"";}i:1333758050;a:4:{s:8:""reply_id"";s:1:""9"";s:15:""reply_member_id"";s:3:""130"";s:10:""reply_date"";s:10:""1333758050"";s:13:""reply_content"";s:50:""I didn&#39;t even know you could comment on these."";}}",FALSE,0,6fbad0df53ee7777eeb8b6f5c4c3feab,130,24.92.121.120,TRUE
19,143,1328730328,"Numbess of body, mind and spirit.",0,a:0:{},FALSE,0,d0c7e59d9604f425f6ba8fe57804c3fe,143,64.189.79.27,TRUE
20,143,1328846880,"Sleep addiction, tally ho.",0,a:0:{},FALSE,0,685f847efa3ecf3bd063ea9d8b74982a,143,64.189.79.49,TRUE
23,143,1329947735,"Testing, because I can.",1,"a:1:{i:1330034455;a:4:{s:8:""reply_id"";s:1:""3"";s:15:""reply_member_id"";s:3:""143"";s:10:""reply_date"";s:10:""1330034455"";s:13:""reply_content"";s:13:""Omg, blocked."";}}",FALSE,0,b402087392b2dd2f3ac41b4ac3b1d777,22,178.7.122.160,TRUE
25,143,1331328599,Be back in a week,0,a:0:{},FALSE,0,a4ff02ee97f4ae83b8d17caf275e8ed2,143,64.189.76.149,TRUE
26,84,1331672012,Thank God I&#39;m A Country Boy,2,"a:2:{i:1333131553;a:4:{s:8:""reply_id"";s:1:""6"";s:15:""reply_member_id"";s:3:""191"";s:10:""reply_date"";s:10:""1333131553"";s:13:""reply_content"";s:26:""And I&#39;m a country girl"";}i:1335455835;a:4:{s:8:""reply_id"";s:2:""10"";s:15:""reply_member_id"";s:2:""84"";s:10:""reply_date"";s:10:""1335455835"";s:13:""reply_content"";s:32:""I thank God for that too&#33; ;)"";}}",TRUE,0,54500c5fb5f34a51b9c13bdae526fff6,84,98.18.146.153,TRUE
27,161,1332451449,Nothing kills my soul more than going to the official website of the Hapsburg line and seeing that it was created either by a total amateur or in 1998.,1,"a:1:{i:1332465964;a:4:{s:8:""reply_id"";s:1:""5"";s:15:""reply_member_id"";s:3:""164"";s:10:""reply_date"";s:10:""1332465964"";s:13:""reply_content"";s:245:""Yeah it&#39;s so annoying dealing with poorly designed web 1.0 stuff. I just got done browsing through AlternateHistory.com for sources and stuff and so many of the links were malformed or took forever to load because of the &#39;03-04 era tech."";}}",FALSE,0,bf324d3ad75b3a2210c0859201ee71d2,161,50.66.9.47,TRUE
40,130,1333758134,Translation for the next article in La Conquista del Estado almost done. No wonder Ramos split with Rivera. So much pinko shit in here. So much.,0,a:0:{},FALSE,0,6c62c7de3d059d0e55277346d3889c09,130,24.92.125.206,TRUE
41,143,1333966454,Countdown.,0,a:0:{},FALSE,0,e0487c2340612ae96df4eaed92116581,143,64.189.76.149,TRUE
42,143,1334049783,THIS FORUM NEEDS COLOR,0,a:0:{},FALSE,0,e41d18ba0885b3483e929ec5e4f5cb48,143,64.189.76.149,TRUE
43,143,1334049784,THIS FORUM NEEDS COLOR,0,a:0:{},FALSE,0,e41d18ba0885b3483e929ec5e4f5cb48,143,64.189.76.149,TRUE
44,16,1334271691,I guess we don&#39;t get to edit member titles ourselves.,0,a:0:{},FALSE,0,699d54bf6fb58d4ec8af8778b82445e5,16,152.33.70.122,TRUE
