follow_id,follow_app,follow_area,follow_rel_id,follow_member_id,follow_is_anon,follow_added,follow_notify_do,follow_notify_meta,follow_notify_freq,follow_notify_sent,follow_visible,follow_index_id
fd493920fd57664677f50e16bf36b39f,forums,topic,36,12,FALSE,2011-09-15T20:43:44Z,TRUE,36,daily,2017-11-20T06:18:16Z,TRUE,189544
1b179c39dd16a7955e2a258b6a2e51bc,forums,topic,62,12,FALSE,2011-09-16T06:04:37Z,TRUE,62,daily,2017-11-20T06:18:16Z,TRUE,189525
af062e78edc9ce0a5ae29a453c626b3b,forums,topic,47,12,FALSE,2011-09-16T06:09:10Z,TRUE,47,daily,2017-11-20T06:18:16Z,TRUE,189534
bbf8f01fcd2b2807471bd4b6152548b6,forums,topic,44,12,FALSE,2011-09-16T17:54:26Z,TRUE,44,daily,2017-11-20T06:18:16Z,TRUE,189537
b85184cada616928c2b7c1669735e37a,forums,topic,65,12,FALSE,2011-09-16T18:11:02Z,TRUE,65,daily,2017-11-20T06:18:16Z,TRUE,189522
e7328cad2ce0896c7266ea0457c3aba1,forums,topic,74,12,FALSE,2011-09-16T18:16:36Z,TRUE,74,daily,2017-11-20T06:18:16Z,TRUE,189513
625eb2d42031123eed20a47f07150f49,forums,topic,75,12,FALSE,2011-09-16T18:38:53Z,TRUE,75,daily,2017-11-20T06:18:16Z,TRUE,189512
a87febdf198c768917d4d97f94366a51,forums,topic,73,12,FALSE,2011-09-16T20:40:45Z,TRUE,73,daily,2017-11-20T06:18:16Z,TRUE,189514
e5f6841c1a65cc74ae397d20a73d64bc,forums,topic,45,12,FALSE,2011-09-17T09:19:19Z,TRUE,45,daily,2017-11-20T06:18:16Z,TRUE,189536
6f7a34133d356a70674756f1d331f5fc,forums,topic,78,12,FALSE,2011-09-17T09:37:43Z,TRUE,78,daily,2017-11-20T06:18:16Z,TRUE,189509
4358cb44794daf692302ade6bddb753a,forums,topic,79,12,FALSE,2011-09-17T09:42:45Z,TRUE,79,daily,2017-11-20T06:18:16Z,TRUE,189508
e614314aece990132307f7fc94b79d63,forums,topic,88,12,FALSE,2011-09-17T19:24:16Z,TRUE,88,daily,2017-11-20T06:18:16Z,TRUE,189499
9e93a9774276e26369fc4c1f171597cf,forums,topic,7236,9353,FALSE,2017-01-11T19:22:26Z,TRUE,,immediate,2017-01-16T12:21:17Z,TRUE,183379
d77a633883650e2cd3ea1597e6b2eea3,forums,topic,95,12,FALSE,2011-09-18T12:09:30Z,TRUE,95,daily,2017-11-20T06:18:16Z,TRUE,189492
c46a3b49559ff844114d8758b762a7bb,forums,topic,96,12,FALSE,2011-09-18T12:18:25Z,TRUE,96,daily,2017-11-20T06:18:16Z,TRUE,189491
eec2460cec59551e6405e50e0de0a650,forums,topic,34,12,FALSE,2011-09-18T14:49:27Z,TRUE,34,daily,2017-11-20T06:18:16Z,TRUE,189546
d656885a57bf129bbddb18cd34ef6334,forums,topic,92,7,FALSE,2011-09-18T18:04:36Z,TRUE,,immediate,2016-07-10T15:15:54Z,TRUE,189495
827424b6bff9fe2ac828841fca95f039,forums,topic,111,2,FALSE,2011-09-20T21:45:47Z,TRUE,111,immediate,2016-10-08T11:19:36Z,TRUE,189482
fa518abfdd44cfb999d67ed1477bdc9e,forums,topic,134,12,FALSE,2011-09-24T18:01:31Z,TRUE,134,daily,2017-11-20T06:18:16Z,TRUE,189463
4aca7b9680434ee0e75c5952800fab72,forums,topic,135,12,FALSE,2011-09-25T10:26:46Z,TRUE,135,daily,2017-11-20T06:18:16Z,TRUE,189462
34ee4f477ffa1d2e82fb32824fdf4ecd,forums,topic,22,12,FALSE,2011-09-25T18:18:48Z,TRUE,22,daily,2017-11-20T06:18:16Z,TRUE,
4a954cf13f53d705500ccc6345e2f316,forums,topic,138,12,FALSE,2011-09-25T20:23:13Z,TRUE,138,daily,2017-11-20T06:18:16Z,TRUE,189459
8f5132b9c7f9c2e5961d75c64f2bb00a,forums,topic,144,12,FALSE,2011-09-26T18:24:54Z,TRUE,144,daily,2017-11-20T06:18:16Z,TRUE,189454
b87d6f4c2361791612f2006438ad41c8,forums,topic,145,12,FALSE,2011-09-27T06:06:23Z,TRUE,145,daily,2017-11-20T06:18:16Z,TRUE,189453
0656067344311d4ecdf0cabf0c95314e,forums,topic,151,12,FALSE,2011-09-27T18:04:07Z,TRUE,151,daily,2017-11-20T06:18:16Z,TRUE,189447
be602617edf68f4a1bf885bd69ab543e,forums,topic,147,12,FALSE,2011-09-27T19:30:51Z,TRUE,147,daily,2017-11-20T06:18:16Z,TRUE,189451
6f0b75b511f2f2336d517f3010d8ef8c,forums,topic,157,12,FALSE,2011-09-29T17:18:03Z,TRUE,157,daily,2017-11-20T06:18:16Z,TRUE,189441
b2519894996a6705c5ed51fbe55e7e61,forums,topic,169,12,FALSE,2011-10-03T18:22:32Z,TRUE,169,daily,2017-11-20T06:18:16Z,TRUE,189431
ef293fb213bbde08eaf4814216e6ce8f,forums,topic,171,12,FALSE,2011-10-03T18:49:21Z,TRUE,171,daily,2017-11-20T06:18:16Z,TRUE,
515174cbf5ec97b499c04da9cd4b54cb,forums,topic,172,12,FALSE,2011-10-04T06:08:28Z,TRUE,172,daily,2017-11-20T06:18:16Z,TRUE,
a1a94e2cb8123beb0919ebba07402075,forums,topic,174,12,FALSE,2011-10-04T19:12:42Z,TRUE,174,daily,2017-11-20T06:18:16Z,TRUE,
0d4268077052111a432ddf93435accd9,forums,topic,177,12,FALSE,2011-10-05T18:37:12Z,TRUE,177,daily,2017-11-20T06:18:16Z,TRUE,
ebda80b32241f03dbdd502d02f2f9d9c,forums,topic,11,12,FALSE,2011-10-05T20:18:49Z,TRUE,11,daily,2017-11-20T06:18:16Z,TRUE,189560
be4c4c6874c7604b329568c0ce41ea64,forums,topic,193,12,FALSE,2011-10-06T20:27:09Z,TRUE,193,daily,2017-11-20T06:18:16Z,TRUE,189417
1b7d1b2244cc5c9f9506a621769cac1c,forums,topic,191,12,FALSE,2011-10-06T20:34:52Z,TRUE,191,daily,2017-11-20T06:18:16Z,TRUE,189419
779e9b2a4cac0aa22d97525b944988fa,forums,topic,194,12,FALSE,2011-10-06T21:05:15Z,TRUE,194,daily,2017-11-20T06:18:16Z,TRUE,189416
498c358450e1a9967c7e4c96c1893dd9,forums,topic,153,12,FALSE,2011-10-08T11:20:01Z,TRUE,153,daily,2017-11-20T06:18:16Z,TRUE,189445
9625d45e67899ef267362dadd02aa281,forums,topic,216,12,FALSE,2011-10-12T18:01:28Z,TRUE,216,daily,2017-11-20T06:18:16Z,TRUE,189396
917af4d01f7c2d336f301f45f9ef7645,forums,topic,196,12,FALSE,2011-10-17T17:37:38Z,TRUE,196,daily,2017-11-20T06:18:16Z,TRUE,189414
c4e4d07da34ee54268394539aad55258,forums,topic,227,12,FALSE,2011-10-17T17:49:06Z,TRUE,227,daily,2017-11-20T06:18:16Z,TRUE,189385
101a3ed1a588477013d972bfac3a5820,forums,topic,242,12,FALSE,2011-10-21T16:22:46Z,TRUE,242,daily,2017-11-20T06:18:16Z,TRUE,189370
6d0bb8f52bee6ba57a8dbc2e710ee14a,forums,topic,243,12,FALSE,2011-10-22T17:02:53Z,TRUE,243,daily,2017-11-20T06:18:16Z,TRUE,189369
