member_id,notification_key,preference
2,private_message_added,email
3,private_message_added,email
3,new_private_message,email
4,private_message_added,email
4,new_private_message,email
5,profile_comment,inline
5,member_follow,inline
14852,new_content,email
8,private_message_added,email
8,new_private_message,email
9,profile_comment,inline
9,member_follow,inline
13834,new_review,email
13834,follower_content,inline
11,new_private_message,email
11,private_message_added,email
12,profile_comment,inline
12,member_follow,inline
13,profile_comment,inline
13,member_follow,inline
14,new_status,inline
16,private_message_added,email
16,new_private_message,email
19,profile_comment,inline
19,member_follow,inline
13437,event_reminder,email
13437,follower_content,inline
13437,quote,inline
25,new_private_message,email
28,mention,inline
28,new_comment,email
28,new_review,email
29,new_private_message,email
35,profile_comment,inline
35,member_follow,inline
37,new_content,email
37,private_message_added,email
37,new_private_message,email
13834,profile_comment,inline
13834,new_comment,email
40,profile_comment,inline
40,member_follow,inline
43,private_message_added,email
43,new_private_message,email
47,profile_comment,inline
47,member_follow,inline
49,profile_comment,inline
49,member_follow,inline
54,member_follow,inline
61,profile_comment,inline
61,member_follow,inline
13834,new_likes,inline
64,new_content,email
64,private_message_added,email
64,new_private_message,email
67,private_message_added,email
67,new_private_message,email
68,new_content,email
68,private_message_added,email
68,new_private_message,email
72,new_private_message,email
13913,new_likes,inline
13913,new_comment,email
13913,new_review,email
84,profile_comment,inline
84,member_follow,inline
85,private_message_added,email
85,new_private_message,email
13834,new_private_message,email
89,profile_comment,inline
89,member_follow,inline
94,profile_comment,inline
94,member_follow,inline
100,new_content,email
100,private_message_added,email
100,new_private_message,email
101,private_message_added,email
101,new_private_message,email
104,new_content,email
104,private_message_added,email
104,new_private_message,email
129,new_private_message,email
130,private_message_added,email
130,new_private_message,email
131,private_message_added,email
131,new_private_message,email
132,new_comment,email
132,new_private_message,email
132,new_likes,inline
25,private_message_added,email
23,profile_reply,inline
13834,member_follow,inline
143,private_message_added,email
143,new_private_message,email
13834,profile_reply,inline
146,new_private_message,email
13834,quote,inline
13834,mention,inline
13834,new_content,email
13834,private_message_added,email
158,private_message_added,email
158,new_private_message,email
160,profile_comment,inline
160,member_follow,inline
161,private_message_added,email
161,new_private_message,email
163,profile_comment,inline
163,member_follow,inline
164,new_content,email
168,mention,inline
168,new_review,email
7405,quote,inline
7405,mention,inline
188,profile_comment,inline
188,member_follow,inline
197,new_comment,email
197,new_private_message,email
197,post_quoted,email
197,new_likes,email
14796,new_comment,email
7405,profile_reply,inline
240,new_private_message,email
246,private_message_added,email
246,new_private_message,email
252,profile_comment,inline
252,member_follow,inline
255,new_content,email
255,private_message_added,email
255,new_private_message,email
271,member_follow,inline
274,private_message_added,email
274,new_private_message,email
279,new_comment,email
279,new_private_message,email
279,post_quoted,"email,inline"
279,new_likes,"email,inline"
283,private_message_added,email
