admin_id,admin_ip_address,admin_username,admin_time,admin_success,admin_post_details
5447,5.228.77.158,Alexander Slavros,2016-03-01T06:09:38Z,TRUE,"a:2:{s:3:""get"";a:4:{s:6:""adsess"";s:0:"""";s:3:""app"";s:4:""core"";s:6:""module"";s:5:""login"";s:2:""do"";s:14:""login-complete"";}s:4:""post"";a:3:{s:7:""qstring"";s:0:"""";s:8:""username"";s:17:""Alexander Slavros"";s:8:""password"";s:22:""*********************1"";}}"
5446,5.228.77.158,Alexander Slavros,2016-02-29T22:17:57Z,TRUE,"a:2:{s:3:""get"";a:4:{s:6:""adsess"";s:0:"""";s:3:""app"";s:4:""core"";s:6:""module"";s:5:""login"";s:2:""do"";s:14:""login-complete"";}s:4:""post"";a:3:{s:7:""qstring"";s:0:"""";s:8:""username"";s:17:""Alexander Slavros"";s:8:""password"";s:22:""*********************1"";}}"
5445,5.228.77.158,Alexander Slavros,2016-02-29T21:33:12Z,TRUE,"a:2:{s:3:""get"";a:4:{s:6:""adsess"";s:0:"""";s:3:""app"";s:4:""core"";s:6:""module"";s:5:""login"";s:2:""do"";s:14:""login-complete"";}s:4:""post"";a:3:{s:7:""qstring"";s:0:"""";s:8:""username"";s:17:""Alexander Slavros"";s:8:""password"";s:22:""*********************1"";}}"
5444,5.228.77.158,Alexander Slavros,2016-02-29T20:57:19Z,TRUE,"a:2:{s:3:""get"";a:4:{s:6:""adsess"";s:0:"""";s:3:""app"";s:4:""core"";s:6:""module"";s:5:""login"";s:2:""do"";s:14:""login-complete"";}s:4:""post"";a:3:{s:7:""qstring"";s:0:"""";s:8:""username"";s:17:""Alexander Slavros"";s:8:""password"";s:22:""*********************1"";}}"
5443,5.228.77.158,Alexander Slavros,2016-02-27T22:36:39Z,TRUE,"a:2:{s:3:""get"";a:4:{s:6:""adsess"";s:0:"""";s:3:""app"";s:4:""core"";s:6:""module"";s:5:""login"";s:2:""do"";s:14:""login-complete"";}s:4:""post"";a:3:{s:7:""qstring"";s:0:"""";s:8:""username"";s:17:""Alexander Slavros"";s:8:""password"";s:22:""*********************1"";}}"
5420,5.228.77.158,Alexander Slavros,2016-01-28T16:04:07Z,TRUE,"a:2:{s:3:""get"";a:4:{s:6:""adsess"";s:0:"""";s:3:""app"";s:4:""core"";s:6:""module"";s:5:""login"";s:2:""do"";s:14:""login-complete"";}s:4:""post"";a:3:{s:7:""qstring"";s:0:"""";s:8:""username"";s:17:""Alexander Slavros"";s:8:""password"";s:22:""*********************1"";}}"
5421,5.228.77.158,Alexander Slavros,2016-01-29T06:22:19Z,TRUE,"a:2:{s:3:""get"";a:4:{s:6:""adsess"";s:0:"""";s:3:""app"";s:4:""core"";s:6:""module"";s:5:""login"";s:2:""do"";s:14:""login-complete"";}s:4:""post"";a:3:{s:7:""qstring"";s:0:"""";s:8:""username"";s:17:""Alexander Slavros"";s:8:""password"";s:22:""*********************1"";}}"
5422,5.228.77.158,Alexander Slavros,2016-02-01T17:35:57Z,TRUE,"a:2:{s:3:""get"";a:4:{s:6:""adsess"";s:0:"""";s:3:""app"";s:4:""core"";s:6:""module"";s:5:""login"";s:2:""do"";s:14:""login-complete"";}s:4:""post"";a:3:{s:7:""qstring"";s:0:"""";s:8:""username"";s:17:""Alexander Slavros"";s:8:""password"";s:22:""*********************1"";}}"
5423,5.228.77.158,Alexander Slavros,2016-02-01T20:23:29Z,TRUE,"a:2:{s:3:""get"";a:4:{s:6:""adsess"";s:0:"""";s:3:""app"";s:4:""core"";s:6:""module"";s:5:""login"";s:2:""do"";s:14:""login-complete"";}s:4:""post"";a:3:{s:7:""qstring"";s:0:"""";s:8:""username"";s:17:""Alexander Slavros"";s:8:""password"";s:22:""*********************1"";}}"
5424,5.228.77.158,Alexander Slavros,2016-02-01T22:26:30Z,TRUE,"a:2:{s:3:""get"";a:4:{s:6:""adsess"";s:0:"""";s:3:""app"";s:4:""core"";s:6:""module"";s:5:""login"";s:2:""do"";s:14:""login-complete"";}s:4:""post"";a:3:{s:7:""qstring"";s:0:"""";s:8:""username"";s:17:""Alexander Slavros"";s:8:""password"";s:22:""*********************1"";}}"
